Comment,Likes
"Can't wait to hear the ''scratches at level 6, with deeper grooves at level 7''

This didn't aged well.",49961
Me being poor and still watching,16553
"The fact that this is your second most viewed video of all time in the history of your channel (25 million within a four week time period at the time of posting this comment) says a lot about the popularity of this product. You’ve made a lot of brilliant videos in the many years you’ve been on this platform, and you gained 25 million views on this insanely fast, and it says a lot. Absolute insanity. Obviously the amount of views gained in this case is not just down to the popularity of the product, but it’s also down to the popularity of you. You’ve always made high-quality, informative, well produced and well edited videos. I love that your main goal is to inform customers of everything they need to know before making purchases or even after making purchases. You were a good egg. Keep up the hard work and I say that not just yourself Mark but to your entire team. Thank you for all you do.",74
One of the best tech reviews ive ever seen. i wasn't bored a bit and half and hour passed like it was 10 to 12 minute. great video as always,58
23:00 unfortunately wearing the Vision Pro will likely also start an annoying awkward conversation too lol,29465
Peak MKBHD is describing the real sensation of his finger and thumb making contact as ‘haptic feedback’ 😂😂,6058
Definitely one of the most in-depth an informative reviews I have ever seen on anything whatsoever.  You so very clearly relayed the experience and nature of the Vision Pro.  I had absolutely no idea what this gadget was about since I've had very limited exposure to VR but now I get it.  Thank you for the amazing walk-through.,8
One of the best reviews I’ve watched in a very long time. Thank you!,16
If I buy one of them I would forget to close all the window and like 20 tabs would be distributed in my house 😂😂😂,3403
This man’s house/set is the environment in which Apple intends everyone to live and use their products.,3166
One of the best video I watched. I like how you were able to provide a lot of details about this product. I am definitively getting one Apple Visio Pro. Thank you!,2
My brother in law was the manager of the Apple Vision Pro and he is very proud of it!,12
"""dont sit too close to the tv you'll go blind"" now we strap them to our faces lul",1401
"15:00 ""If it's a URL you can say out loud"" lol my man already knows what people are gonna use this device for 😂😂😂",1616
Tried the demo today very impressive! I agree with keyboard usage wish it worked like laptop but super dope,1
26:21 Dude looked like a long lost family member greeting him in the afterlife xD,2252
Once again I'm watching a 40 minutes long vid about a product I'll never buy... and I enjoy every second of it,1558
"Your review is great! Straight to the point, in-depth enough, very sharp. Thanks!",1
That direction of the caller's voice is a game changer I've been waiting to come. It helps our brains to decipher information who's talking and what when there are multiple voices in a group call.,15
The screens casting a shadow is a really nice touch,1729
"When he said, ""...using it for about a week now,"" I smirked 😂 Classic MKBHD",2225
"what got me hooked was that he immediately said it was dystopic, definitely have got to watch that other video about the *ethics and implications*",2
"Wao! First: this is the first time i have ever watch a review of product and for more than 30min. and Marques you are awsome. Second: this product is Taking us to a very high level in technology, incredible!!!...Cheers from Dominican Republic...",0
This is one of those early generations of new tech that is going to look hilariously antiquated in a handful of years. Like how we look at the early brick cell phones now.,1263
Once agaiñ I'm watching a 40 minute long video about a product I'll never buy...and I enjoyed every second of it.,1913
"wow. thats a lot of view sir. this brotha here is smart. talk about  something everyone in the world relates to, Tech and its evolution. But you also do it extremely well, and thats probably the most important part. Bravo- i havent seen anyone on youtube messing with your views , its nutz",1
"This is so incredibly well done and produced.  Content creator in a whole other league.  Keep doing what you're doing, much respect.",0
"Ngl, im not an apple fan BUT my mum has recently lost the use of 3 of her 4 limbs. The idea of her being able to navigate a computer with her usable hand is INCREDIBLE as she cant really text at the moment as she has very poor fine motor control but can pinch her fingers together! This could mean she can text her friends and navigate her apps and games etc far more! <3 The accessibility- taking eye tracking to the public - the possibilities for disabled individuals is HUGE!",1918
21:53 being the world's biggest tech channel and using a windows wallpaper on a macbook pro surely is a power move,1139
Good Review !!,28
"15:00 ""If that is the URL that you can say out loud"" 😂😂",1712
"23:13 I LOVE the idea of someone sitting next to you on the plane, having no idea what a Vision Pro is, and just seeing you touching a trackpad and keyboard on a laptop that seemingly isn't on 😂. Absolute madman behaviour. Great video as always 👍",837
I am super impressed with your video and with the tech. Both are best-in-class.,0
"these are absolutely awesome, tech is definitely improving wow",1
"Talking about immersion, I started watching this video thinking I won’t be able to finish it; and it’s a rare thing to make a 40 min video feel this seamless. Literally didn’t realise when it got over. This has got to be one of the best tech videos uploaded by Marques, or anyone for that matter.",585
"""Possibly dystopian"" is exactly how I feel about this product.",710
"It has been very long since I saw such an impressive, fresh video, kudos to the product and the presenter.",0
This is one of the best reviews of the vision pro on the tubes.  Great job,0
"The level of immersion we got to experience on a 2D YouTube video about an AR product...Hats off to you and your team, Marques.",496
35:33 That’s the most subtle FedEx ad I have ever seen,607
Damn this video was really interesting and super well edited! Thank you for the immersive experience 😊,1
WOw! That Full Immersion dial switch is just 🤯 Mind blowing. Great product. Already,0
The amount of R&D this must have gone through is insane. Kudos to the engineers.,667
Man...imaging an unskippable ad in the headset. And the ad will pause unless it detects that your eyes are watching/focusing on the ad...fun stuff,339
Wonderful overview. I just did the demo at the Apple Store and you really added a LOT to my understanding.,0
This was one of the best reviews I’ve ever seen. I want this thing so bad now after watching this video. So many cool features,0
"37 minutes, and he says wait for the full review. 😂",147
"22:59 i think it would be easier to explain to the passengers beside you that you are a YouTuber, rather then explaining the vision pro 😂",719
Excellent breakdown. Probably won’t be able to ever try but super cool to experience it a bit through your eyes. Really great breakdown. 🤙,0
"Great review, Marques. Greetings all the way from Morocco.",0
Imagine watching “you know what” on the Apple Vision Pro and suddenly your buddy’s face shows up from the mist just because you are looking at his general direction 😂,814
"No YouTube, No Netflix, No Spotify…literally the only 3 apps I could think of myself using with this thing (at least, currently) 😭😭",1301
"Marques delivers an exceptional breakdown of the Vision Pro, showcasing its remarkable features and potential applications with unparalleled clarity. His thorough examination of the device's capabilities, particularly the innovative eye and hand tracking technology, highlights its revolutionary impact on the VR landscape. 

While addressing the downsides of the Vision Pro, including its weight, battery life, and current app selection, Marques maintains an objective and balanced perspective, ensuring viewers receive a comprehensive evaluation. His insightful analysis encourages critical thinking and fosters meaningful discussion about the future of VR technology.

Marques, this is the first time I've seen a video of yours.  18.4 million subscribers?  Wow.",1
9 days old video and already your second most popular video ever. Crazy and well done Marques 👍,0
The people sitting next to you on the airplane are going to have even more questions when you are staring right at them trying to change the song 😂,947
“If it’s a URL you can actually say out loud” 😂😂,381
After watching your full review. I finally decided to keep my old phone as I realizef it gives me more immersion and control just by holding my phone in front of my face. Saves me 3500 as well,0
"Amazing review, will help me make an informed decision on this device in the future!",0
"I have no plans of buying this, but just thinking about the engineering that went into this device makes my brain dumb. I’m taking a controls systems class in college rn and it’s given me a new found appreciation for this kinda stuff. Props to apple for even trying this, genuinely some of the most impressive tech we’ve seen in a long time.",639
"Not an interior designer, but I can just tell that an app giving you a realistic depiction of a room with your proposed furniture would be absolutely killer. Same for architects and all kinds of designers.",806
Was an amazing overview loved how the shadow appeared under window. Unfortunately after 3 fittings I had to return mine as it kept putting pressure on my sinuses and would give me a pressure headache. I'm sure this is not everyone's experience I hope it gets resolved so I can get anyone.,0
"How far we've come... really impresses me the fact we can do all these things and keep going to a 100% virtual world, which is kinda scary btw. Nice video man, really appreciate your effort on ti!",1
"LMAO the praying hands gesture of tim cook 18:36 xD 
edit: this is my first 1k 🙏 xD",1049
"When I started watching this, I thought, ""there's no way I'm gonna make it through a forty-minute review of a product I don't even want."" But Marques does such an amazing job of illuminating the pros and cons of this product, putting in context what matters and what doesn't, that the time went by like nothing. It's gonna take a lot more to convince me that I actually need this product, but it does look like fun. Also like a recipe for neck strain and migraines. Still, this is one of the best product reviews I've ever watched and I look forward to more of Marques's insights.",1013
thx for the helpful introduction!!,0
"Very interesting video, thanks for breaking it all down.  I'm not an apple guy, in fact I rather loth their walled garden ecosystem but I can appreciate a good piece of tech.  I'm glad they put out such a well polished headset, hopefully it will get a few other manufacturers to step up their game.",0
"15:02 ""If it`s a URL that, you know, you can actually say out loud"".  😂😂😂😂",288
Awesome product and an awesome part review too,189
"Very good review. I'm impressed with the product and Marques. He did a rather thorough test, which I think all of us appreciate.",0
Great review! Thanks for sharing.,0
"15:00 “If it’s a url that, you know, you can actually say out loud.” LMAO",367
"""if its a URL you can say out loud"".  flew over my head for a second lol",661
Great video. Well done. I also like that while you’re talking apple integration you’re featuring a Samsung phone for your video notes.,0
