Comment,Likes
Happy to help film this one! Please don’t ever FaceTime me with your Persona again thanks,21590
"2:43 ""I get off here... Enjoy your adventure!"" was so genuine and sweet.",15972
When you feel like Times Square doesn't have enough screens already,47
"there is a deep and uncomfortable disconnect in what is about to happen. 
simply because we are going to let it happen...
it doesn't end well.",37
I am deaf... I would love something like this to actively make captions for everyone around me so I can tell what people are saying... would be amazing.,3474
"This is the type of review I'm so glad exists 😅

2:05 There's a travel mode in the control settings! Apple says it's made for airplanes but... I suspect it'll do pretty good on subway too",13108
"But... honestly, why is it good that our ""outside"" reality will be bombarded with access to our online worlds? If it's hard enough now to sit in a room with friends and stay focused on ""the now"" and enjoy the moments together, are you insinuating that our future is basically that no moments together will be unencumbered by apps, videos, calls, and augmented reality? Why is that good?",31
This genuinely terrifies me for what’s to come in the next few decades,69
I wanna watch this again in 10-20 years. This gonna be like watching people with their first bulky mobile phones,2398
The cut away of you holding the donut up killed me. LOL.,3016
This will be a great boost for people alienation,6
"thansk for the video, really enjoyed this type of reveiw.",1
That man on the subway with the beautiful blue tie was very sweet “enjoy your adventure” ☺️ 2:29,626
"This is a fun video to watch!

I used it as inspiration for creating a short story about the apple vision pros",0
Casey using iphone se 1st generation makes me happy because i still use mine!! Best phone,5
This was one of my favorite Black Mirror episodes!,799
"What stood out to me is how friendly everyone was. ""Enjoy your adventure"" How amazing is that guy!",1149
"Casey, you are a gem. What a great video, and thanks for saying what I've been thinking.",0
First time watching your channel. I really appreciate the info but what I really loved about this was that - especially at the end when you were giving us your thoughts - you didn't put micro editing cuts after every six words like most Youtubers do today. It was very mature and professional. Thank you.,29
"That gentleman at 2:30 is security for my office building. He’s an amazing guy, what a treat to see him on here",762
"Let me tell you one thing, THIS is the best review that I ever seen about this product. It is a real review in real life. Congratulations and I hope Apple engineers take notes about this video.",827
You always do such a good job,0
Good video bro. Its pretty down to earth while getting others input. I like that.,0
What an incredible way of showing this product off. Not something that you'd see a typical review do. I appreciate your authenticity.,454
This video is going to be so legendary in 10 years,1020
In 30 years when we have this tech in contact lenses this video is going to be a classic. Like the first experience with atari footage,198
"finally, the review we all needed.",1
The butterfly moment killed me 🤣 🦋,8881
"Bro this is why you’re one of the OGs
Because you don’t repeat the same review that every YouTuber does - unbox the device etc - you entertain us through film while teaching us about it. This is a true review!",769
8:57 yeah man this is def a good thing,2
I gotta say this makes me both nervous and excited. I wonder when it gets super clean will by workflow be better more efficient so when I am connected I can multitask better or not be sitting all day. Then when I want to turn it off and be in the real world I can do that too. I already see it now. Real life is something people are actively seeking out. I miss sometimes not being able to “disconnect” the way we used to when we had landlines only. But now that time has passed with computers in our pockets we’re starting to figure out how to give ourselves what we need as humans even whilst we engage fully in the tech. I think we’ll be alright but there will be a learning curve.,0
"""Enjoy your adventure"" 

What a guy. So peaceful and kind. Everyone else feels that, right?",1304
"2:44 I like how when the guy on the train said ""enjoy your adventure,"" a title called Adventure appeared in the apple tv app right after.",390
"u r a good creator man, keep making more videos, thanks🙂",0
Great review thanks man,0
People just staring at you while you say “the butterfly is eating my donut” had me dying 🤣🤣,715
"i feel like New York is like the perfect place to test this. most people will be completely uninterested in whatever you have going on, and the ones who do care will be cool enough characters to include in a video. its like the perfect choice",426
Another visual masterpiece.,0
"I can imagine having one in the day to day life, growing up with one, and revisiting ur home town. Where every day to day moment long forgotten is qued up to view, a video you left running at the bus stop, a map for getting from your house to a once new cofee shop. Instagram posts shwoing up as forgotten memories not based on time of year, but location as you hit each archived benchmark. Pulling up videos of you and your friends, friends you may not have talked to in years, all comes flooding back not just in your mind, but with the media and documentation of those forgotten memories. Ar overlays of new buildings shwoing the floor planes and store fronts of what used to be on that block, a glimpse of the world not just how it is, but how it is remembered.",18
The men in the metro was so kind and respectful.,419
Im fine with the present. Being always connected looks like the best way of being always alone. Boredom is an important human experience and having this will just make us consume content non stop,766
That was a dope Marques plug and shout out,1
Anyone noticed Thansk ? 😂 His review is so authentic. He shows the practical use case of vision pro that no one has shown in any other video. Great 👌,1
"The man who said ""enjoy your adventure"" was so wholesome 2:45",1132
Videos like this are a good reminder of why I love Casey’s videos and story telling ability. Glad he pops up every now and then.,332
About time you  ought up! Can do that with the quest as well.,0
they really need speech to text on this so you're not stopping to type awkwardly.  it's something I've discussed while in one of my classes recently. where we brought up accessibility and when people have issue's with their hands or no hands at all. I think i see a option there maybee? to the far right at the bottom? 3:58 if you pause it but I honestly think it should be better explained or more readily available to those who need it.,0
3:40 imagine taking the subway in one or two years and having to dodge all the zombies who parked in front of you to text  😭😭😭,256
The bizareness of Casey typing on the stairs at 3:45 in the air from the outside perspectice. It just kills me everytime 😂😂,398
Been waiting for a clip from you,0
Cool concept. To many glitch things i was picking up on. I still need to know about trading apps etc.  Others i read said they thought it was cool first week or so then ....,0
